Average RunTime,RandomWalkLength,RandomWalkStart,Improvement
365586,7,20,best
366722,26,17,best
385041,39,8,best
384531,19,15,first
369897,29,11,first
368725,39,9,best
387258,1,31,best
384130,37,16,best
330518,7,23,best
384218,9,18,best
384234,16,17,first
384271,8,25,best
347798,9,22,first
384136,6,23,first
384509,27,10,first
384142,8,22,best
384445,30,12,best
384801,32,10,best
384424,21,15,first
384948,11,18,best
387418,27,15,first
384534,31,16,best
384988,29,15,first
384888,34,9,first
370575,4,22,first
348898,2,26,best
384453,18,14,first
384375,10,18,best
368586,23,10,best
367469,27,17,best
366151,28,17,best
384450,1,28,best
387813,37,13,best
384290,5,20,first
384561,35,16,best
384782,21,10,first
333970,8,18,best
350358,7,22,first
384638,23,17,first
384486,29,16,first
350284,4,24,best
384820,3,20,first
367881,5,24,best
367073,2,27,best
384489,5,22,first
277459,6,24,best
384333,3,24,best
387358,33,15,best
387816,33,16,best
384317,12,19,best
387835,29,14,best
348881,8,19,first
384195,34,15,best
384428,6,22,first
384406,10,22,best
370624,36,15,best
384518,2,28,best
385045,36,13,first
384772,12,18,best
384626,24,12,best
384502,1,30,best
367492,24,17,best
384461,31,17,best
385075,28,16,first
384750,36,11,best
384176,31,10,best
384140,31,13,best
388196,13,20,best
370743,8,24,best
370522,12,20,best
368817,15,21,best
387637,39,11,best
366750,29,17,best
384238,34,11,first
387840,24,15,first
385050,32,15,best
384955,35,11,first
400000,35,2,first
348909,9,25,best
365542,11,22,best
384990,38,13,best
384130,5,25,first
384249,20,14,best
347932,10,20,first
384560,20,17,first
371134,37,11,first
387708,14,20,best
366843,11,25,best
384610,28,15,first
384254,36,16,best
366735,1,33,best
384765,30,11,first
384109,20,10,first
387474,1,32,best
390967,17,21,best
384523,27,16,first
369841,2,30,best
384687,8,23,best
390989,37,15,best
367862,6,19,first
366624,18,21,best
384432,6,20,first
388187,40,11,best
367323,7,25,best
367421,3,27,best
384223,34,16,first
349629,16,21,best
384862,32,12,best
352962,9,20,first
387706,26,17,first
384283,2,33,best
390757,34,10,best
384219,12,22,best
366142,28,14,best
367906,2,29,best
366322,28,11,best
366746,25,17,first
384855,23,16,best
370965,2,31,best
370670,3,33,best
387431,35,17,best
384285,6,25,best
387302,30,15,first
387684,11,20,first
384185,14,18,best
387486,32,11,best
384546,28,10,first
384493,19,17,first
367494,3,26,best
384414,17,15,best
367475,1,36,best
365746,1,31,first
387622,29,10,first
350948,15,20,best
387296,27,12,best
384201,8,18,first
384240,29,12,best
365782,33,13,first
384613,37,16,first
387682,40,13,first
384761,26,16,first
384550,23,11,first
